category,round,value,clue,answer
ROCK STARS,2,2000,This singer-songwriter helped create the California sound,Jackson Browne
,,,,
ROLE WITH THE CHANGES,2,400,Lecy Goranson was Becky Conner No. 1 on this '90s sitcom; Sarah Chalke was second Becky,Roseanne
,,,,
ROLE WITH THE CHANGES,2,800,Don Cheadle suited up for duty as Rhodey when Terrence Howard exited this film series,Iron Man
,,,,
ROLE WITH THE CHANGES,2,1200,Dick York's role of Darrin magically transformed into Dick Sargent's role of Darrin on this sitcom,Bewitched
,,,,
ROLE WITH THE CHANGES,2,1600,"Changes for season 3 of ""The Crown"" included Vanessa Kirby out & her in as Princess Margaret",Helena Bonham Carter
,,,,
ROLE WITH THE CHANGES,2,2000,"In ""Roots"" LeVar Burton played the younger version of this character; John Amos played the adult",Kunta Kinte
,,,,
RUSSIAN OPERA,2,400,There are more than 60 different singing roles in Sergei Prokofiev's opera adaptation of this Tolstoy novel,War and Peace
,,,,
RUSSIAN OPERA,2,800,"Stalin walked out of Shostakovich's opera called this ambitious Shakespeare lady ""of the Mtsensk District""",Lady Macbeth
,,,,
RUSSIAN OPERA,2,1200,"Sergei Rachmaninoff's ""Francesca da Rimini"" is based on a canto of this 14th century work",The Divine Comedy (Inferno)
,,,,
RUSSIAN OPERA,2,1000,"This iconic insect theme was written by Rimsky-Korsakov as an interlude for the opera ""The Tale of Tsar Saltan""","""Flight Of The Bumblebee"""
,,,,
RUSSIAN OPERA,2,2000,"Just before a duel in Tchaikovsky's opera about this Pushkin hero, the aria heard here is sung",Eugene Onegin
,,,,
SAND PAINTING,2,400,Spanish painter Joaqu�n Sorolla specialized in the sunny beaches of his home area Valencia on this body of water,the Mediterranean
,,,,
SAND PAINTING,2,800,"This New Englander known for his stormy seas painted a calmer 1869 ""Beach Scene""",Winslow Homer
,,,,
SAND PAINTING,2,2000,"Australian Charles Conder took a lot from Impressionism like painting his works here, French for outdoors",plein-air
,,,,
SCIENCE & NATURE,2,400,"The giant variety of this, Tridacna gigas, is the largest living bivalve mollusk & can grow to 4 feet across & 500 pounds",a clam
,,,,
SCIENCE & NATURE,2,2000,"Aside from the Sun & the Moon, this is the brightest natural object in the night sky",Venus
,,,,
SCIENCE & NATURE,2,1200,"After sulfur is removed, this has no odor; mercaptan is added to it so that leaks can be detected",natural gas
,,,,
SCIENCE & NATURE,2,1600,"Studying flares & the corona, in 2019 U.K. astronomers determined that this field is 10 times stronger than previously thought",the Sun's magnetic field
,,,,
SCIENCE & NATURE,2,2000,"(Sarah of the Clue Crew presents by a display monitor.) Butterflies emerge as adults not from a cocoon but from one of these structures whose name is from the Greek for ""gold""",a chrysalis
,,,,
SCULPTURE,2,400,"It's also known as ""The Aphrodite of Melos""",the Venus de Milo
,,,,
SCULPTURE,2,800,"(Sarah of the Clue Crew presents by a display monitor.) Evolving from cave art, examples of this type of sculpture includes sunken, low or bas, and high or alto",relief
,,,,
SCULPTURE,2,1200,"Revelstoke, British Columbia, on the Columbia River, has a sculpture of a sturgeon with this other fish",salmon
,,,,
SCULPTURE,2,1600,Dale Chihuly is primarily known for making sculptures out of this,glass
,,,,
SCULPTURE,2,2000,"Much of this English sculptor's work is truly monumental, like his 9-foot ""Draped Reclining Mother and Baby""",Henry Moore
,,,,
SEE WHO SALUTES,1,200,Here's this Chairman of the Joint Chiefs of Staff saluting during a 50th anniversary ceremony for Pearl Harbor survivors,Colin Powell
,,,,
SEE WHO SALUTES,1,400,"Bernard Montgomery, mid-salute here, commanded all ground forces at the start of 1944's Normandy invasion, or Operation this",Overlord
,,,,
SEE WHO SALUTES,1,600,"We salute this fallen hero, a Pac-10 Defensive Player of the Year, an Arizona Cardinal,  and an Army ranger",Pat Tillman
,,,,
SEE WHO SALUTES,1,800,"Here's Chester Nimitz, who in December 1944 got bumped up to the Navy's then newest and highest rank, this type of admiral",a five-star (fleet admiral)
,,,,
SEE WHO SALUTES,1,1000,Here's Babe Ruth with this general and hero of World War I after the Bambino joined the National Guard in 1924,Pershing
,,,,
SEEMED SO FAR AWAY,1,200,"This Japanese mountain has kind of a Russian doll arrangement, with the current volcano over earlier ones, including Komitake",Mount Fuji
,,,,
SEEMED SO FAR AWAY,1,400,"The Tagus River flows across this nation, the westernmost country in continental Europe",Portugal
,,,,
SEEMED SO FAR AWAY,1,600,"With more than 14 million people, this Nigerian city is one of Africa's most populous",Lagos
,,,,
SEEMED SO FAR AWAY,1,800,"About a third of the continent's population lives in this ""directional"" Australian state",New South Wales
,,,,
SEEMED SO FAR AWAY,1,1000,The Mekong River forms much of the western border of this country highlighted here,Laos
,,,,
SELF-HELP BOOKS,2,400,"This Latin word for ""I"" ""is the Enemy"", says author Ryan Holiday: put goals ahead of personal acclaim",ego
,,,,
SELF-HELP BOOKS,2,800,"A 2019 book from this Indian-American author tells readers how to become ""Metahuman""",Deepak Chopra
,,,,
SELF-HELP BOOKS,2,1200,"Stephen Covey's ""The 8th Habit"" is a follow-up to this 1989 bestseller of personal change",The 7 Habits of Highly Effective People
,,,,
SELF-HELP BOOKS,2,1600,"Buying a $50 item marked down to $10 isn't saving 40; it's spending 10, points out a book punningly titled ""Dollars and"" this",Sense
,,,,
SELF-HELP BOOKS,2,2000,"This author followed up a 1930s self-help bestseller with ""How to Stop Worrying and Start Living""",Dale Carnegie
,,,,
SENTENCING,1,200,"In ""He gave the dog a bone"", bone is a direct one of these & dog is an indirect one",an object
,,,,
SENTENCING,1,400,"In French most adjectives are postpositive, meaning you'll find them here",after the noun
,,,,
SENTENCING,1,600,"Austrian novelist Thomas Bernhard used long sentences; the 2nd sentence of ""Correction"" has 79 of these punctuation marks",commas
,,,,
SENTENCING,1,800,"This is the subject at hand; this type of ""sentence"" tells the main idea of a paragraph",the topic
,,,,
SENTENCING,1,1000,"The arrangement of words to make a sentence meaningful; in programming, it's the arrangement of characters so a computer cooperates",syntax
,,,,
SHOW ME THE MONEY!,2,200,He's the inventor seen here on the Italian 2000 lire note,Marconi
,,,,
SHOW ME THE MONEY!,2,400,"Seen here, the $1 bill of this vast country features art by native artist David Malangi",Australia
,,,,
SHOW ME THE MONEY!,2,600,The Guatemalan bank note seen here depicts a hero of these ancient people,the Mayan (Maya)
,,,,
SHOW ME THE MONEY!,2,800,This man seen here on the Mexican 50 peso note was elected president in 1861,Benito Ju�rez
,,,,
SHOW ME THE MONEY!,2,1000,"One of the world's few plastic bank notes, the 50 baht note seen here, is from this country",Thailand
,,,,
SIDE BAR,1,400,It's a curled piece of lemon peel to garnish a cocktail,a twist
,,,,
SIDE BAR,1,600,"Orgeat syrup, which sweetens many a Mai Tai, is flavored with these nuts",almonds
,,,,
SIDE BAR,1,800,"This implement is used to crush ingredients at the bottom of a drink, like the mint in a Mojito",a muddler
,,,,
SIDE BAR,1,1000,"Many a cocktail calls for these, perhaps the Angostura or Peychaud's type",bitters
,,,,
SIDE EFFECTS MAY VARY,2,400,"Too much beta-carotene can lead to carotenemia, which does this to your skin",turn it orange
,,,,
SIDE EFFECTS MAY VARY,2,800,"Decongestants block the production of saliva, potentially leading to this side effect aka xerostomia",dry mouth
,,,,
SIDE EFFECTS MAY VARY,2,1200,"The prostate medicine Finasteride was found to have this side effect, so it is now also used under the brand name Propecia",hair growth
,,,,
SIDE EFFECTS MAY VARY,2,1600,"Stay seated when you donate blood & get up slowly--a common side effect is syncope, aka this",fainting
,,,,
SIDE EFFECTS MAY VARY,2,2000,"The original these for allergies, like Benadryl, make you drowsy because they can pass through the blood-brain barrier",antihistamines
,,,,
SOUNDING OFF,2,200,"This conventional imitation of the sound of a rooster begins with a synonym for ""rooster""",cock-a-doodle-doo
,,,,
SOUNDING OFF,2,400,"The one ""of doom"" is a thunderclap or perhaps a trumpet blast",a crack
,,,,
SOUNDING OFF,2,600,"In the novel ""The Jungle"", meatpackers boast they use every part of the pig except this",the squeal
,,,,
SOUNDS LIKE A BOAT PART,1,200,"Preceding ""over"", it sometimes means to faint",keel
,,,,
SOUNDS LIKE A BOAT PART,1,400,A large branch on a tree,bough
,,,,
SOUNDS LIKE A BOAT PART,1,600,To punch someone & knock or level him to the floor (of the boat?),deck
,,,,
SOUNDS LIKE A BOAT PART,1,800,To successfully incubate an egg,to hatch
,,,,
SOUNDS LIKE A BOAT PART,1,1000,To remove the shell or husk from beans or seeds,hull
,,,,
"STARTS & ENDS WITH ""E""",2,400,"This word borrowed from the French can mean ""access"" as well as ""main course""",entr�e
,,,,
"STARTS & ENDS WITH ""E""",2,800,"It often means a lavish country residence, but in Britain can also mean a housing development",an estate
,,,,
"STARTS & ENDS WITH ""E""",2,1200,"Synonym for a posse--a rapper's or an actor's, not a sheriff's",an entourage
,,,,
"STARTS & ENDS WITH ""E""",2,1600,"This word for a perfect example doesn't rhyme with ""home""",epitome
,,,,
"STARTS & ENDS WITH ""E""",2,2000,"This 9-letter word is a less common synonym for ""former""",erstwhile
,,,,
STUPID ANSWERS,1,100,"Baker's calls itself ""America's premier"" chocolate for this",baking
,,,,
STUPID ANSWERS,1,200,"Matt Damon played this character in the film ""Good Will Hunting""",Will Hunting
,,,,
STUPID ANSWERS,1,300,"While ABC aired this event on March 23, 1998, FOX countered with a fight night hosted by Oscar De La Hoya",the Oscars
,,,,
STUPID ANSWERS,1,400,"It's the real name of the boulevard in Las Vegas known as ""The Strip""",Las Vegas Boulevard
,,,,
STUPID ANSWERS,1,500,Explorer Juan Ponce de Leon was born in 1460 to a noble family from this Spanish province,Le�n
,,,,
SUMMARIZING THE NOVEL,2,400,Worst tropical island vacation ever; this little Piggy should have stayed home; British schoolboys won't be British schoolboys,Lord of the Flies
,,,,
SUMMARIZING THE NOVEL,2,800,No bull from Finch; a Jem of a story; Boo!,To Kill a Mockingbird
,,,,
SUMMARIZING THE NOVEL,2,1200,Gotta fly; Major Major Major Major problems; war is Heller,Catch 22
,,,,
SUMMARIZING THE NOVEL,2,1600,"Here comes the Barnes; where there's a will, there's a Hemingway; Romero the torero",The Sun Also Rises
,,,,
SUMMARIZING THE NOVEL,2,2000,Utopia (not!); I ain't goin' nowhere; the Butler did it (in 1872),Erewhon
,,,,
TERMS FROM ISLAM,2,400,"The fatiha is the short opening sura, or chapter, of this text",the Koran
,,,,
TERMS FROM ISLAM,2,3000,Sawm is the practice of doing this during Ramadan,fasting
,,,,
TERMS FROM ISLAM,2,1200,"The ""Oxford Dictionary of Islam"" entry on this says it's called jahannam & is a place of eternal fire",hell
,,,,
TERMS FROM ISLAM,2,1600,Salat are these that an observant Muslim says 5 times a day,prayers
,,,,
TERMS FROM ISLAM,2,2000,This is the cube-shaped shrine in Mecca that contains the black stone,the Ka'bah (Kaaba)
,,,,
THAT'S MY JAM!,1,200,My personal fave: this type of grape jam bearing the name of a Massachusetts town,Concord
,,,,
THAT'S MY JAM!,1,400,"My jam is complicated--it's made from pluot, a hybrid of plum & this other fruit",apricot
,,,,
THAT'S MY JAM!,1,600,"Inna jam makes a ""plenty spicy"" one from these peppers named for a place the Aztecs called Xalapan",jalape�o
,,,,
THAT'S MY JAM!,1,800,"My favorite type of this torte, named for a city in Austria, is the one made with raspberry jam",Linzer
,,,,
THAT'S MY JAM!,1,1000,"My new fave is the jam from the Meiwa type of this small fruit with a ""Q"" in the middle of its name",a kumquat
,,,,
"THE ""BOSS"" OF POP CULTURE",1,200,"In 2016 Sharon Price John, CEO of Build-a-Bear, got a unique look at the company on this show",Undercover Boss
,,,,
"THE ""BOSS"" OF POP CULTURE",1,400,In 2009 Buddy Valastro began living up to this TV title in a Hoboken bakery,Cake Boss
,,,,
"THE ""BOSS"" OF POP CULTURE",1,600,Jennifer Aniston was part of an awful trio making employees' lives miserable in this 2011 comedy,Horrible Bosses
,,,,
"THE ""BOSS"" OF POP CULTURE",1,800,"We think the answer to this title '80s sitcom question is Judith Light, not Tony Danza",Who's the Boss?
,,,,
"THE ""BOSS"" OF POP CULTURE",1,1000,Alec Baldwin was all business as the voice of the title infant in this 2017 film,Boss Baby
,,,,
THE 18th CENTURY,2,400,"In 1717 the first ""Grand Lodge"" of this secret society was founded",the Masons (Freemasons)
,,,,
THE 18th CENTURY,2,800,In 1783 she annexed the Crimean Peninsula & it became Russian territory,Catherine the Great
,,,,
THE 18th CENTURY,2,1200,In 1732 James Oglethorpe secured a royal charter to establish what became this colony,Georgia
,,,,
THE 18th CENTURY,2,1600,This Alpine German-speaking principality was created in 1719 & is still here today,Liechtenstein
,,,,
THE 18th CENTURY,2,2000,"In 1789 this Scotsman left from Lake Athabasca to explore the 1,100 miles of the Canadian river named for him",the Mackenzie
,,,,
THE ACTOR WHO SAID IT,2,400,"1976: ""You talkin' to me?""",Robert De Niro
,,,,
THE ACTOR WHO SAID IT,2,800,"1999: ""I see dead people""",Haley Joel Osment
,,,,
THE ACTOR WHO SAID IT,2,1200,"As Norman Bates: ""A boy's best friend is his mother""",Anthony Perkins
,,,,
THE ACTOR WHO SAID IT,2,1600,"2012: ""That's my secret, Cap.  I'm always angry""",Mark Ruffalo
,,,,
THE ACTOR WHO SAID IT,2,2000,"In a Tarantino film: ""You know somethin', Utivich? I think this just might be my masterpiece""",Brad Pitt
,,,,
THE APOSTLES,2,400,"This apostle was not present when Jesus first reappeared after the crucifixion, so he had his doubts",Thomas
,,,,
THE APOSTLES,2,800,Matthias beat out Barsabas in a lottery to replace this apostle who was not a good team player,Judas (Iscariot)
,,,,
THE APOSTLES,2,1200,"This man wasn't one of the 12, but he has ""The Apostle"" for his epithet & much of the Acts of the Apostles is about him",Paul
,,,,
THE APOSTLES,2,1600,"There were 2 Apostles with this name, so we use ""the Greater"" & ""the Less"" to tell them apart",James
,,,,
THE APOSTLES,2,2000,"As depicted here, Jesus told Peter and this brother, another fisherman, ""Follow me and I will make you fishers of men""",Andrew
,,,,
THE GREAT LAKES,3,0,An 1855 poem gives us this Native American name for the 1 Great Lake not known to us today by a Native American word or a tribe's name,Gitche Gumee
,,,,
THE JEFFERSONS,1,400,19th c. rich guy & Monticello owner Jefferson Levy had one of these devices printing out stock prices in his New York home,a ticker tape
,,,,
THE JEFFERSONS,1,600,Here are Grace Slick & her bandmates' group during the Summer of Love year of 1967,Jefferson Airplane
,,,,
THE LANGUAGE OF LIKE,1,200,"2-4-6-8, who do we this? It means to be grateful for! Or rise in value! Yay!",appreciate
,,,,
THE LANGUAGE OF LIKE,1,400,"The ""Hippie Dictionary"" says it means ""to see, understand "", as in ""can you ___ it""?",dig
,,,,
THE LANGUAGE OF LIKE,1,600,"Something very complicated & ornamental; does that ""strike your"" this? Or is it just a ""passing"" one?",fancy
,,,,
THE LANGUAGE OF LIKE,1,2000,"To venerate, say, a specific Revolutionary War nighttime equestrian",revere
,,,,
THE LANGUAGE OF LIKE,1,1000,"To hold a memory fondly in your mind, perhaps of the same-named 1989 Madonna hit",cherish
,,,,
"THE MAN, THE POETRY",2,400,"""i do not know what it is about you that closes and opens...nobody, not even the rain, has such small hands""",(e.e.) cummings
,,,,
"THE MAN, THE POETRY",2,800,"""Bells"" (interspersed more than 60 times within the poem)",(Edgar Allan) Poe
,,,,
"THE MAN, THE POETRY",2,1200,"""I hear America singing, the varied carols I hear, those of mechanics, each one singing his as it should be blithe and strong""",(Walt) Whitman
,,,,
"THE MAN, THE POETRY",2,5000,"""Back from the mouth of hell, all that was left of them, left of six hundred""",Tennyson
,,,,
"THE MAN, THE POETRY",2,2000,"""The soul of Adonais, like a star, beacons from the abode where the eternal are""",Shelley
,,,,
THE MUSIC BIZ,3,0,"In 2019, at a 60th anniversary event in Detroit, this producer announced his retirement saying he had ""come full circle""",Berry Gordy
,,,,
THE NATIONAL JEWISH BOOK AWARD FOR FICTION,2,400,"2017 winner David Grossman's ""A Horse Walks Into a Bar"" follows one of these funny folks losing it onstage",a comedian
,,,,
THE NATIONAL JEWISH BOOK AWARD FOR FICTION,2,800,"An immigrant is the hero of the title tale of a Mark Helprin collection, this ""Island"" in New York Bay",Ellis Island
,,,,
THE NATIONAL JEWISH BOOK AWARD FOR FICTION,2,1200,"1995 winner ""Mazel"" takes its title from the word for luck in this language written in Hebrew letters",Yiddish
,,,,
THE NATIONAL JEWISH BOOK AWARD FOR FICTION,2,1600,"A towering story of biblical proportions, this author's ""Exodus"" won for 1959",(Leon) Uris
,,,,
THE NATIONAL JEWISH BOOK AWARD FOR FICTION,2,2000,"1950 winner ""The Wall"" by John Hersey is about an escape from the ghetto of 400,000 Jews set up by the Nazis in this capital",Warsaw
,,,,
THE NAVAJO,2,400,Legend says the Spider Man invented the loom & the Spider Woman this art for which the Navajo are renowned,weaving
,,,,
THE NAVAJO,2,800,"The Navajo are renowned for the ""smithing"" of this precious metal, an art likely brought from Mexico in the mid-1800s",silver
,,,,
THE NAVAJO,2,1200,"The Navajo capital shares its name with this rock, a nearby sandstone ridge with a see-through portal",Window Rock
,,,,
THE NAVAJO,2,3000,The unique complexities of the Navajo language made it perfect for Native Americans working as these during World War II,code talkers
,,,,
THE NAVAJO,2,2000,The doors in these traditional dome-shaped Navajo dwellings always face to the east,hogans
,,,,
THE ROOM WHERE IT HAPPENS,1,200,It's where the sub-zero goes,the kitchen
,,,,
THE ROOM WHERE IT HAPPENS,1,400,Indoor games like 20 Questions are named for it,the parlor
,,,,
THE ROOM WHERE IT HAPPENS,1,600,West Wing crisis center since 1961,the Situation Room
,,,,
THE ROOM WHERE IT HAPPENS,1,800,"Highlights for children has been called ""that ubiquitous magazine"" there",a waiting room
,,,,
THE ROOM WHERE IT HAPPENS,1,1000,A sleeveless garment + 2 letters; it's where clergy dress,a vestry
,,,,
THE SISTERS SISTERS,1,200,As of 2020 these 2 sisters had won 12 Wimbledon singles titles between them,the Williams sisters (Venus & Serena)
,,,,
THE SISTERS SISTERS,1,400,Her brothers had 24 Top 40 hits as a group; she had 39 on her own & even her sister Rebbie had one in 1984,Janet Jackson
,,,,
THE SISTERS SISTERS,1,600,"Last name of the twins whose retail biz is a billion-dollar brand & oh yeah, they have a movie star sister",the Olsens
,,,,
THE SISTERS SISTERS,1,800,"This sister of the Duchess of Cambridge was maid of honor at the royal wedding on April 29, 2011",Pippa
,,,,
THE SISTERS SISTERS,1,1000,"Last name of Dakota, far from the ""Twilight"" of her career, & Elle, who gave us 2 ""Maleficent"" performances",Fanning
,,,,
THE SOUND OF MUSIC,1,200,"(Jimmy of the Clue Crew is outside the Frohnburg Palace in Salzburg, Austria.) ""The Sound of Music"" takes place in Salzburg, Austria, in 1938, and Frohnburg Palace was used as an exterior for this family's villa, which they fled",the von Trapps
,,,,
THE SOUND OF MUSIC,1,400,"(Sarah of the Clue Crew presents from the Hellbrunn Palace in Salzburg, Austria.) Sung by Maria and the Captain in the gazebo, recreated on a Hollywood stage, ""Something Good"" was one of two new songs written for the movie, the rest coming from the Broadway show, the last collaboration by this pair",Rodgers & Hammerstein
,,,,
THE SOUND OF MUSIC,1,600,"(Sarah of the Clue Crew is outside the Frohnburg Palace in Salzburg, Austria.) This actress was 28 and a new mom when she came here to Austria to play Maria, a role she says made her career",Julie Andrews
,,,,
THE SOUND OF MUSIC,1,800,"(Sarah of the Clue Crew presents from Mirabell Gardens in Salzburg, Austria.) Shot in several locations, including Mirabell Gardens, where Maria and the kids dance around a fountain and run through a hedge tunnel, this number culminates with the song's final bars being sung right here on these steps","""Do-Re-Mi"""
,,,,
THE SOUND OF MUSIC,1,1000,"(Jimmy of the Clue Crew is outside Residenzplatz in Salzburg, Austria.) In ""The Sound of Music"" Nazi banners are hung from the old palace building in Residenzplatz, signifying this forced political union between German and Austria",Anschluss
,,,,
THE SULTANS,2,400,Sultan Bayezid II gave refuge to many Jews who were expelled from Spain in 1492 by a decree from this royal couple,Ferdinand & Isabella
,,,,
THE SULTANS,2,800,"Reigning in the early 1700s, Sultan Husayn was the last independent Safavid shah of this nation",Persia
,,,,
THE SULTANS,2,1200,"This ""magnificent"" sultan took Belgrade in 1521 & even laid siege to Vienna for a time",Suleiman
,,,,
THE SULTANS,2,3600,"Since the 16th c. Ottoman sultans have claimed this 6-letter religious title, passed down to followers of Muhammad",caliph
,,,,
THE SULTANS,2,2000,"In 1923 this man, real name Mustafa Kemal, came into power after Turkey's sultanate was abolished",Atat�rk
,,,,
THE TEMPLETON PRIZE,1,200,"The prize is for ""life's spiritual dimension"", but its creator stipulated the monetary award must always exceed this other prize's",the Nobel Prize
,,,,
THE TEMPLETON PRIZE,1,400,Mother Teresa received the inaugural 1973 prize for her work with the children of this Indian city,Calcutta
,,,,
THE TEMPLETON PRIZE,1,600,"Physicist Bernard d'Espagnat, 2009's winner, explored the philosophical implications of these mysterious ""mechanics""",quantum mechanics
,,,,
THE TEMPLETON PRIZE,1,800,"The 2013 prize went to this Cape Town man whose teachings combine Anglicanism with the concept of ubuntu, meaning humanity & kindness",Archbishop Desmond Tutu
,,,,
THE TEMPLETON PRIZE,1,1000,"1982's winner was this man from N.C. who ""took his message of Christianity into the...world of radio and television""",Billy Graham
,,,,
THE YOUNG & THE RECKLESS,2,400,Wing-suited 1930s aviation daredevil Clem Sohn was nicknamed this like a caped superhero who debuted in 1939,Batman
,,,,
THE YOUNG & THE RECKLESS,2,800,"Rossa Richter was just 14 in 1877 when she was fired into the air at London's Royal Aquarium, becoming famous as the first human this",a cannonball
,,,,
THE YOUNG & THE RECKLESS,2,1200,One story says this 1970s Daredevil got his rhyming nickname after crashing his motorcycle while being chased by police as a teen,Evel Knievel
,,,,
THE YOUNG & THE RECKLESS,2,1600,"Stunt man Bud Ekins, not Steve McQueen, made the iconic motorcycle jump over a barbed-wire fence in this 1963 P.O.W. breakout movie",The Great Escape
,,,,
THE YOUNG & THE RECKLESS,2,2000,"World War I ace Frank Luke was famed for attacking observation these, dangerous targets ringed with antiaircraft guns",balloons
,,,,
THEATER TIME,2,400,Time to head to ancient Greece for the Sophocles play about this king of Thebes who gets a revelation that Rex his life,Oedipus
,,,,
THEATER TIME,2,800,"The acclaimed ""Lehman Trilogy"" runs 3 hours-plus as it sweeps from the 1840s to this recent year of the financial meltdown",2008
,,,,
THEATER TIME,2,1200,"His ""Long Day's Journey into Night"" begins on a morning in August 1912",Eugene O'Neill
,,,,
THEATER TIME,2,1600,The Tony-winning play named for this European city is set during the 1990s negotiation of peace accords between Israel & the PLO,Oslo
,,,,
THEATER TIME,2,2000,"No, we're certain this 2005 Pulitzer-winning drama takes place at a Catholic school in 1964",Doubt
,,,,
THESE UNITED STATES,1,200,"In 1792 the first European to see this peak called it a ""high snowy mountain""; in fact it's the highest in Oregon",Mount Hood
,,,,
THESE UNITED STATES,1,400,"These slow, winding Louisianan bodies of water include Teche, which legend says was created from a giant snake",bayous
,,,,
THESE UNITED STATES,1,600,This L.A.-area valley where you'll find Reseda & Encino was named for a canonized king of Castile,San Fernando
,,,,
THESE UNITED STATES,1,800,Cobblestones are part of the charm of Wharf Street in this Maine city with a name that suggests it's water-adjacent,Portland
,,,,
THESE UNITED STATES,1,1000,"Fargo, N.D. lies in the valley of this ""colorful"" river ""of the North"", one of the USA's great agricultural areas",the Red River of the North
,,,,
THIS AMERICAN CITY,2,400,"This city, the seat of New Mexico's Bernalillo County, gives you 2 Q's for the price of one",Albuquerque
,,,,
THIS AMERICAN CITY,2,800,"In 1819 a newspaper in this Ohio city boasted that it was ""justly styled the fair queen of the west""",Cincinnati
,,,,
THIS AMERICAN CITY,2,1200,Its central location helped make it the capital of Maine in 1832,Augusta
,,,,
THIS AMERICAN CITY,2,1600,"Named for a capital of Ancient Egypt, this city is on a bluff on the Mississippi River's east bank",Memphis
,,,,
THIS AMERICAN CITY,2,2000,"Part of what locals call the Metroplex, this Texas city was founded as an army post in 1849",Fort Worth
,,,,
TRANSPORTATION,2,400,"An ""iron horse"" was an old nickname for this type of transportation",a locomotive (train)
,,,,
TRANSPORTATION,2,800,"Perhaps reminding you of Venice, it's the enclosed compartment attached to the underside of a blimp",a gondola
,,,,
TRANSPORTATION,2,1200,Here's a classic Eldorado from this brand that dates back to 1902,Cadillac
,,,,
TRANSPORTATION,2,1600,"U.S.S. The Sullivan, seen here, is this type of war ship; the life-size version doesn't have two holes as in the game Battleship",a destroyer
,,,,
TRANSPORTATION,2,2000,Let's go over some of the features of your A320 from this co.: in 2019 it became the bestselling single-aisle airliner,Airbus
,,,,
TRAVELING ON THE INTERSTATE,1,200,"Though the roads aren't connected to the contiguous U.S., this island, with PRI-1, -2 & -3, does have interstates",Puerto Rico
,,,,
TRAVELING ON THE INTERSTATE,1,400,Talkin' baseball... I-90 bookends are Edgar Martinez Drive in Seattle & the Ted Williams Tunnel in this city,Boston
,,,,
TRAVELING ON THE INTERSTATE,1,600,"(Jimmy of the Clue Crew presents by a display monitor.) I-5 runs from the Mexican border all the way up to become Canada's Highway 99, leading into this city, British Columbia's most populous",Vancouver
,,,,
TRAVELING ON THE INTERSTATE,1,2000,I-10 is nearly a mile high east of Tucson but below sea level in this city founded by de Bienville in 1718,New Orleans
,,,,
TRAVELING ON THE INTERSTATE,1,1000,"It's 2,906 miles on I-80 from San Francisco to Teaneck in this state; good thing we've got a full tank of gas",New Jersey
,,,,
TUNNELS,1,200,"Similar to a certain staircase, this type of tunnel in Norway coils its way up the inside of a hill for over a mile",a spiral
,,,,
TUNNELS,1,400,South Africa's over 50-mile-long Orange-Fish Tunnel gets its name from 2 of these that it connects,rivers
,,,,
TUNNELS,1,600,"Dixia Cheng, a sprawling network of tunnels in Beijing, is aka the ""Underground"" this other landmark",Great Wall
,,,,
TUNNELS,1,800,"Honoring a Santa Monica newspaper publisher, the McClure Tunnel takes you north on this scenic highway aka Highway 1",the Pacific Coast Highway
,,,,
TUNNELS,1,1600,"The world's highest vehicular tunnel is on I-70, 60 miles west of this state capital",Denver
,,,,
TV INSPIRATIONS,1,200,"Lucious Lyon on ""Empire"" was partly based on this rapper--should we infer that Cookie is Beyonc�",Jay-Z
,,,,
TV INSPIRATIONS,1,400,"Washington, D.C. fixer Judy Smith inspired Olivia Pope on this drama",Scandal
,,,,
TV INSPIRATIONS,1,600,"The name of Idris Elba's character on this HBO show comes from Baltimore criminals Bernard ""Stringer"" Reed & Roland Bell",The Wire
,,,,
TV INSPIRATIONS,1,800,Preet Bharara was reportedly an inspiration for Paul Giamatti's character on this Showtime drama set in the financial world,Billions
,,,,
TV INSPIRATIONS,1,1000,Women's wrestling director Matt Cimber is an inspiration for Marc Maron's character on this show set in the 1980s,GLOW
,,,,
TV SHOWS BASED ON BOOKS BY WOMEN,1,200,"This show & its prequel ""The Carrie Diaries"" were based on books by Candace Bushnell",Sex and the City
,,,,
TV SHOWS BASED ON BOOKS BY WOMEN,1,400,Kathy Reichs drew upon her own work as a forensic anthropologist to pen the Temperance Brennan books that became this show,Bones
,,,,
TV SHOWS BASED ON BOOKS BY WOMEN,1,600,"In the 1970s & '80s Melissa Gilbert & Melissa Sue Anderson starred in ""Little House on the Prairie"", based on books by this author",Laura Ingalls Wilder
,,,,
TV SHOWS BASED ON BOOKS BY WOMEN,1,800,"3 young E.T.s appear as humans & attend a New Mexico high school in books by Melinda Metz, the basis for this TV show",Roswell
,,,,
TV SHOWS BASED ON BOOKS BY WOMEN,1,1000,"Based on novels by Deborah Harkness, ""A Discovery of"" these beings centers on historian Diana Bishop, who has magical abilities",Witches
,,,,
TV SHOWS BY EPISODES,2,400,"""Citizen Knope"", ""Recall Vote""",Parks and Rec
,,,,
TV SHOWS BY EPISODES,2,800,"""Sexual Harassment Panda"", ""Kenny Dies""",South Park
,,,,
TV SHOWS BY EPISODES,2,1200,"""A Jewish Girl Walks into the Apollo..."", ""It's Comedy or Cabbage""",The Marvelous Mrs. Maisel
,,,,
TV SHOWS BY EPISODES,2,1600,"""Infected"" , ""The King, the Widow, and Rick""",The Walking Dead
,,,,
